Pete is a young boy who lives in Athens, he loves his family.|Pete is a young boy. Pete lives in Athens. Pete loves Pete's family.
Tom, who is 30 years old, lives in Athens. He works at NOKIA, which has 500 employees.|Tom is 30 years old. Tom lives in Athens. Tom works at NOKIA. NOKIA has 500 employees.
Sarah is a teacher who enjoys reading. She teaches at a high school in New York.|Sarah is a teacher. Sarah enjoys reading. Sarah teaches at a high school in New York.
The cat that lives next door is very friendly. It loves to play with the children.|The cat lives next door. The cat is very friendly. The cat loves to play with the children.
John, who is an engineer, works for a construction company. He specializes in designing bridges.|John is an engineer. John works for a construction company. John specializes in designing bridges.
Maria, who is 25 years old, is a talented artist. She has been painting since she was a child.|Maria is 25 years old. Maria is a talented artist. Maria has been painting since Maria was a child.
The dog that barks loudly belongs to Mr. Smith. It guards his house every night.|The dog barks loudly. The dog belongs to Mr. Smith. The dog guards Mr. Smith's house every night.
Jenny, who is a software developer, created a new app. She launched it last week.|Jenny is a software developer. Jenny created a new app. Jenny launched the app last week.
Tom is a firefighter who works in Los Angeles. He loves his job.|Tom is a firefighter. Tom works in Los Angeles. Tom loves Tom's job.
The house that we visited yesterday was beautiful. It had a large garden.|The house we visited yesterday was beautiful. The house had a large garden.
Laura is a doctor who specializes in cardiology. Her expertise is well-known in the city.|Laura is a doctor. Laura specializes in cardiology. Laura's expertise is well-known in the city.
Alice, who is a lawyer, and Bob, who is a doctor, are married. They live in San Francisco, which is known for its tech industry.|Alice is a lawyer. Bob is a doctor. Alice and Bob are married. Alice and Bob live in San Francisco. San Francisco is known for its tech industry.
Rachel, who is an architect, designed a new building. The building, which is located downtown, has received many awards.|Rachel is an architect. Rachel designed a new building. The building is located downtown. The building has received many awards.
The students, who were excited about the trip, packed their bags. They couldn't wait to explore the city.|The students were excited about the trip. The students packed the student's bags. The students couldn't wait to explore the city.
The team that won the championship celebrated their victory. They were proud of their hard work.|The team won the championship. The team celebrated the team's victory. The team was proud of the team's hard work.
Jessica, who is a talented musician, performed at the concert last night. The audience gave her a standing ovation.|Jessica is a talented musician. Jessica performed at the concert last night. The audience gave Jessica a standing ovation.
Michael, who is an experienced chef, cooked dinner for the guests. They praised him for his delicious dishes.|Michael is an experienced chef. Michael cooked dinner for the guests. The guests praised Michael for Michael's delicious dishes.
